Ville,Température
Pontault-Combault,5.03
city,temp
Colomiers,13.28
city,temp
Colomiers,13.05
city,temp
Cluses,3.89
city,temp
Clichy-sous-Bois,5.16
city,temp
Clichy,5.66
city,temp
Clamart,5.08
city,temp
Choisy-le-Roi,5.54
city,temp
Chilly-Mazarin,5.36
city,temp
Chevilly-Larue,5.22
city,temp
Cherbourg-Octeville,8.04
city,temp
Chenôve,2.68
city,temp
Chennevières-sur-Marne,5.51
city,temp
Chaville,4.92
city,temp
Chatou,5.63
city,temp
Châtillon,5.07
city,temp
Châtenay-Malabry,4.99
city,temp
Arrondissement de Châtellerault,1.21
city,temp
Châtellerault,1.37
city,temp
Châteaudun,4.22
city,temp
Chartres,4.77
city,temp
Charenton-le-Pont,5.58
city,temp
Champs-sur-Marne,5.33
city,temp
Champigny-sur-Marne,5.33
city,temp
Challans,5.86
city,temp
Challans,5.68
city,temp
Cergy,5.71
city,temp
Cenon,10.1
city,temp
Cenon,9.59
city,temp
Roussillon,7.54
city,temp
Clavaillan,7.75
city,temp
Cavaillon,8.6
city,temp
Castres,13.09
city,temp
Castelnau-le-Lez,10.59
city,temp
Castelnau-le-Lez,10.59
city,temp
Carrières-sous-Poissy,5.67
city,temp
Carquefou,6.04
city,temp
Carpentras,7.78
city,temp
Canteleu,6.43
city,temp
Cannes,14.53
city,temp
Caluire-et-Cuire,0.43
city,temp
Calais,7.03
city,temp
Cahors,10.61
city,temp
Cagnes-sur-Mer,14.39
city,temp
Cagnes-sur-Mer,14.3
city,temp
Cachan,5.39
city,temp
Bry-sur-Marne,5.55
city,temp
Brunoy,5.35
city,temp
Bruay-la-Buissière,6.17
city,temp
Brétigny-sur-Orge,5.21
city,temp
Brest,9.99
city,temp
Arrondissement de Bressuire,5.58
city,temp
Bressuire,0.61
city,temp
Bourgoin-Jallieu,2.18
city,temp
Bourgoin,2.02
city,temp
Bourg-lès-Valence,2.36
city,temp
Bourg-la-Reine,5.43
city,temp
Bourg-en-Bresse,0.28
city,temp
Boulogne-sur-Mer,6.68
city,temp
Bouguenais,6.27
city,temp
Bondy,5.5
city,temp
Boissy-Saint-Léger,5.11
city,temp
Bois-Colombes,5.65
city,temp
Bobigny,5.53
city,temp
Bischheim,1.83
city,temp
Bezons,5.68
city,temp
Béziers,10.17
city,temp
Béthune,6.3
city,temp
Berck,6.95
city,temp
Berck,6.96
city,temp
Berck-Plage,6.92
city,temp
Balma,13.26
city,temp
Balma,13.29
city,temp
